"GenBank.Accn","X.Replicon.Name","Start","Stop","Strand","GeneID","Locus.tag","Protein.product","Length","Protein.name","X..Sequence.Name","Sequence.Role","Assigned.Molecule","Assigned.Molecule.Location.Type","Relationship","RefSeq.Accn","Assembly.Unit","Sequence.Length","UCSC.style.name","SeqName","SeqName2a"
"GG663363.1","Un",219950,221926,"+","-","HCBG_00027","EEH10572.1",325,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",223055,224218,"+","-","HCBG_00028","EEH10573.1",302,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",225044,226822,"-","-","HCBG_00029","EEH10574.1",378,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",228747,229989,"+","-","HCBG_00030","EEH10575.1",254,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",230411,232971,"+","-","HCBG_00031","EEH10576.1",784,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",234318,235028,"+","-","HCBG_00032","EEH10577.1",236,"acetyltransferase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",237824,240038,"+","-","HCBG_00033","EEH10578.1",655,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",241019,241959,"-","-","HCBG_00034","EEH10579.1",142,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",243154,244505,"-","-","HCBG_00035","EEH10580.1",432,"monocarboxylate permease-like protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",245033,247471,"+","-","HCBG_00036","EEH10581.1",629,"C6 zinc finger domain-containing protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",248761,251996,"-","-","HCBG_00037","EEH10582.1",912,"protein kinase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",255059,256601,"-","-","HCBG_00038","EEH10583.1",417,"geranylgeranyl transferase type I beta subunit","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",257022,257934,"+","-","HCBG_00039","EEH10584.1",227,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",258327,259286,"+","-","HCBG_00040","EEH10585.1",143,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",260251,261005,"-","-","HCBG_00041","EEH10586.1",179,"hypothetical protein HCBG_00041","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",262230,264566,"+","-","HCBG_00042","EEH10587.1",567,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",265951,266893,"-","-","HCBG_00043","EEH10588.1",249,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",267654,268291,"+","-","HCBG_00044","EEH10589.1",157,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",268795,270206,"-","-","HCBG_00045","EEH10590.1",415,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",270738,272346,"-","-","HCBG_00046","EEH10591.1",473,"DUF895 domain-containing protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",274272,278420,"-","-","HCBG_00047","EEH10592.1",1104,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",279112,281051,"+","-","HCBG_00048","EEH10593.1",622,"hypothetical protein HCBG_00048","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",282588,283283,"+","-","HCBG_00049","EEH10594.1",146,"ribonucleoprotein-associated protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",284998,288451,"-","-","HCBG_00050","EEH10595.1",1016,"sarcoplasmic/endoplasmic reticulum calcium ATPase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",288848,290197,"+","-","HCBG_00051","EEH10596.1",198,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",291174,292659,"-","-","HCBG_00052","EEH10597.1",326,"hypothetical protein HCBG_00052","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",293035,295855,"-","-","HCBG_00053","EEH10598.1",705,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",297875,299025,"-","-","HCBG_00054","EEH10599.1",279,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",299395,300620,"-","-","HCBG_00055","EEH10600.1",342,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",302182,303817,"-","-","HCBG_00056","EEH10601.1",438,"enolase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",305048,306468,"+","-","HCBG_00057","EEH10602.1",392,"26S protease regulatory subunit","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",307708,310032,"+","-","HCBG_00058","EEH10603.1",706,"mannosyl-oligosaccharide 1,2-alpha-mannosidase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",311491,312804,"-","-","HCBG_00059","EEH10604.1",437,"peptidase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",314416,317403,"-","-","HCBG_00060","EEH10605.1",965,"histidine kinase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",317956,318652,"+","-","HCBG_00061","EEH10606.1",153,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",318968,320802,"-","-","HCBG_00062","EEH10607.1",257,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",322565,323577,"+","-","HCBG_00063","EEH10608.1",103,"60S ribosomal protein L36","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",324404,326132,"-","-","HCBG_00064","EEH10609.1",542,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",326576,327542,"-","-","HCBG_00065","EEH10610.1",255,"hemerythrin HHE cation binding domain-containing protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",334440,335762,"+","-","HCBG_00066","EEH10611.1",427,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",337318,338997,"-","-","HCBG_00067","EEH10612.1",421,"protein kinase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",339877,340587,"+","-","HCBG_00068","EEH10613.1",192,"proteasome component PUP3","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",341576,345222,"-","-","HCBG_00069","EEH10614.1",953,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",345573,347926,"-","-","HCBG_00070","EEH10615.1",577,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",348483,351748,"+","-","HCBG_00071","EEH10616.1",1024,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",352554,353360,"-","-","HCBG_00072","EEH10617.1",76,"mitochondrial cytochrome c oxidase assembly factor","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",354099,354614,"-","-","HCBG_00073","EEH10618.1",171,"hypothetical protein HCBG_00073","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",355324,355810,"+","-","HCBG_00074","EEH10619.1",102,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",358100,359365,"+","-","HCBG_00075","EEH10620.1",378,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",361569,363188,"+","-","HCBG_00076","EEH10621.1",481,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",364718,366722,"-","-","HCBG_00077","EEH10622.1",641,"ribosomal RNA-processing protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",367295,370250,"+","-","HCBG_00078","EEH10623.1",805,"proteasome component C11","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",370694,373637,"-","-","HCBG_00079","EEH10624.1",853,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",374028,377023,"+","-","HCBG_00080","EEH10625.1",967,"U3 small nucleolar RNA-associated protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",377283,379001,"-","-","HCBG_00081","EEH10626.1",572,"pre-mRNA-splicing factor spp2","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",380217,385145,"-","-","HCBG_00082","EEH10627.1",1484,"MYB and HSA domain-containing protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",385723,387397,"+","-","HCBG_00083","EEH10628.1",487,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",387926,389708,"+","-","HCBG_00084","EEH10629.1",521,"eukaryotic translation initiation factor 2 gamma subunit","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",391068,391601,"-","-","HCBG_00085","EEH10630.1",177,"60S ribosomal protein L34","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",392141,392779,"+","-","HCBG_00086","EEH10631.1",212,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",393114,394794,"-","-","HCBG_00087","EEH10632.1",456,"CaaX prenyl protease","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",395226,398538,"-","-","HCBG_00088","EEH10633.1",1015,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",399611,402314,"+","-","HCBG_00089","EEH10634.1",836,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",402637,404204,"+","-","HCBG_00090","EEH10635.1",490,"microtubule-associated protein YTM1","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",404481,404902,"-","-","HCBG_00091","EEH10636.1",92,"40S ribosomal protein S13","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",405463,406507,"+","-","HCBG_00092","EEH10637.1",208,"peptidyl-prolyl cis-trans isomerase B","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",407430,409207,"+","-","HCBG_00093","EEH10638.1",304,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",412040,412546,"+","-","HCBG_00094","EEH10639.1",168,"phosphotransferase enzyme family protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",412623,413006,"+","-","HCBG_00095","EEH10640.1",127,"phosphotransferase enzyme family protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",413234,413827,"-","-","HCBG_00096","EEH10641.1",182,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",415234,415574,"-","-","HCBG_00097","EEH10642.1",100,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",416259,418596,"+","-","HCBG_00098","EEH10643.1",716,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",420509,421755,"+","-","HCBG_00099","EEH10644.1",299,"isoflavone reductase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",423859,426035,"+","-","HCBG_00100","EEH10645.1",694,"ATP-dependent RNA helicase DED1","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",430178,434040,"+","-","HCBG_00101","EEH10646.1",1190,"INO80 chromatin remodeling complex Ies1","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",435392,436836,"+","-","HCBG_00102","EEH10647.1",440,"INSIG domain-containing protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",438658,438969,"-","-","HCBG_00103","EEH10648.1",103,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",439239,441329,"+","-","HCBG_00104","EEH10649.1",595,"bifunctional purine biosynthesis protein ADE16","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",443097,448644,"+","-","HCBG_00105","EEH10650.1",1676,"clathrin heavy chain","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",451220,451651,"-","-","HCBG_00106","EEH10651.1",143,"pre-mRNA-splicing factor","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",452406,456271,"-","-","HCBG_00107","EEH10652.1",1198,"pyruvate carboxylase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",461486,462640,"+","-","HCBG_00108","EEH10653.1",384,"lactone hydrolase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",464817,466037,"-","-","HCBG_00109","EEH10654.1",361,"hypothetical protein HCBG_00109","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",466526,468287,"+","-","HCBG_00110","EEH10655.1",280,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",470457,471366,"-","-","HCBG_00111","EEH10656.1",173,"60S ribosomal protein L11","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",471751,472845,"+","-","HCBG_00112","EEH10657.1",201,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",473605,474671,"+","-","HCBG_00113","EEH10658.1",141,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",475802,478196,"-","-","HCBG_00114","EEH10659.1",757,"vacuolar amino acid transporter 3","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",479417,483403,"+","-","HCBG_00115","EEH10660.1",1244,"solute carrier family 12 member 5","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",485226,487236,"+","-","HCBG_00116","EEH10661.1",519,"sugar transporter","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",488419,489112,"-","-","HCBG_00117","EEH10662.1",162,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",491314,491637,"-","-","HCBG_00118","EEH10663.1",107,"predicted protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",495079,496679,"+","-","HCBG_00119","EEH10664.1",461,"conserved hypothetical protein","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",499351,500817,"+","-","HCBG_00120","EEH10665.1",488,"mevalonate kinase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",503241,504726,"+","-","HCBG_00121","EEH10666.1",350,"CaaX farnesyltransferase alpha subunit Ram2","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
"GG663363.1","Un",505180,506625,"-","-","HCBG_00122","EEH10667.1",423,"l-serine dehydratase","supercont2.1","unplaced-scaffold","na","na","<>","na","Primary Assembly",3777229,"na","supercont2.1","Supercontig_2.1"
