"RefSeq.Accn","X.Replicon.Name","Start","Stop","Strand","GeneID","Locus","Locus.tag","Protein.product","Length","Protein.name","X..Sequence.Name","Sequence.Role","Assigned.Molecule","Assigned.Molecule.Location.Type","GenBank.Accn","Relationship","Assembly.Unit","Sequence.Length","UCSC.style.name","SeqName","SeqName2a"
"NC_026745.1","1",45340,46007,"-",23883885,"-","CNAG_00013","XP_012046463.1",204,"hypothetical protein, variant 2","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",46824,48841,"+",23883886,"-","CNAG_00014","XP_012046150.1",613,"hypothetical protein CNAG_00014","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",50476,51193,"+",23883887,"-","CNAG_00015","XP_012046464.1",212,"hypothetical protein CNAG_00015","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",53388,54027,"+",23883888,"-","CNAG_00016","XP_012046151.1",84,"U6 snRNA-associated Sm-like protein LSm5","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",54702,57423,"-",23883889,"-","CNAG_00017","XP_012046152.1",786,"hypothetical protein CNAG_00017","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",59229,61865,"+",23883890,"-","CNAG_00018","XP_012046153.1",796,"hypothetical protein CNAG_00018","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",62033,62415,"-",23883891,"-","CNAG_00019","XP_012046465.1",89,"mitochondrial import inner membrane translocase subunit TIM9","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",62588,66221,"+",23883892,"-","CNAG_00020","XP_012046154.1",997,"hypothetical protein CNAG_00020","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",66948,68523,"-",23883893,"-","CNAG_00021","XP_012046466.1",467,"S-adenosylmethionine decarboxylase proenzyme","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",69162,70126,"-",23883894,"-","CNAG_00022","XP_012046467.1",269,"cytochrome c heme-lyase","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",70438,71659,"-",23883895,"-","CNAG_00023","XP_012046468.1",361,"hypothetical protein CNAG_00023","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",74340,76760,"+",23883896,"-","CNAG_00024","XP_012046469.1",739,"hypothetical protein, variant 1","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",74340,76871,"+",23883896,"-","CNAG_00024","XP_012046155.1",750,"hypothetical protein CNAG_00024","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",74340,76760,"+",23883896,"-","CNAG_00024","XP_012046470.1",719,"hypothetical protein, variant 2","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",78201,80580,"-",23883897,"-","CNAG_00025","XP_012046156.1",606,"calcium/proton exchanger","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",78201,80634,"-",23883897,"-","CNAG_00025","XP_012046471.1",599,"calcium/proton exchanger, variant","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",81301,82983,"-",23883898,"-","CNAG_00026","XP_012046157.1",460,"kynurenine aminotransferase","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",81301,82983,"-",23883898,"-","CNAG_00026","XP_012046472.1",436,"kynurenine aminotransferase, variant","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",84072,86655,"+",23883899,"-","CNAG_00027","XP_012046158.1",735,"transcriptional activator","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",87815,89843,"-",23883900,"-","CNAG_00028","XP_012046473.1",493,"high-affinity nicotinic acid transporter","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",87815,89843,"-",23883900,"-","CNAG_00028","XP_012046474.1",493,"high-affinity nicotinic acid transporter, variant","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",90490,91786,"+",23883901,"-","CNAG_00029","XP_012046475.1",357,"D-3-phosphoglycerate dehydrogenase","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",92137,93365,"+",23883902,"-","CNAG_00030","XP_012046476.1",311,"D-3-phosphoglycerate dehydrogenase","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",92137,93365,"+",23883902,"-","CNAG_00030","XP_012046477.1",298,"D-3-phosphoglycerate dehydrogenase, variant","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",93506,96545,"-",23883903,"-","CNAG_00031","XP_012046159.1",813,"hypothetical protein CNAG_00031","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",93506,96545,"-",23883903,"-","CNAG_00031","XP_012046478.1",805,"hypothetical protein, variant","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",96969,97867,"+",23883904,"-","CNAG_00032","XP_012046479.1",267,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",99045,99578,"-",23883905,"-","CNAG_00033","XP_012046480.1",159,"hypothetical protein CNAG_00033","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",99984,100396,"+",23890163,"-","CNAG_07306","XP_012047014.1",124,"hypothetical protein CNAG_07306","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",101235,102263,"+",23883906,"-","CNAG_00034","XP_012046481.1",191,"large subunit ribosomal protein L9e","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",106378,108225,"+",23883907,"-","CNAG_00035","XP_012046160.1",526,"hypothetical protein CNAG_00035","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",108971,110289,"-",23883908,"-","CNAG_00036","XP_012046161.1",289,"Sec14 cytosolic factor","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",110921,112076,"+",23890164,"-","CNAG_07307","XP_012047015.1",82,"hypothetical protein CNAG_07307","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",114073,115545,"-",23883909,"-","CNAG_00038","XP_012046162.1",365,"alcohol dehydrogenase","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",120725,123282,"+",23883910,"-","CNAG_00039","XP_012046163.1",814,"hypothetical protein CNAG_00039","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",124079,126188,"+",23883911,"-","CNAG_00040","XP_012046482.1",547,"cytochrome P450, family 51 (sterol 14-demethylase)","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",126495,128651,"-",23890165,"-","CNAG_07308","XP_012046164.1",545,"hypothetical protein CNAG_07308","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",130356,132334,"-",23883912,"-","CNAG_00043","XP_012046484.1",635,"hypothetical protein, variant","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",130356,132334,"-",23883912,"-","CNAG_00043","XP_012046483.1",635,"hypothetical protein CNAG_00043","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",132596,136282,"+",23883913,"-","CNAG_00044","XP_012046485.1",1115,"ribosome assembly protein 1","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",136430,137824,"-",23883914,"-","CNAG_00045","XP_012046486.1",419,"hypothetical protein CNAG_00045","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",138102,139471,"+",23883915,"-","CNAG_00046","XP_012046487.1",350,"26S proteasome regulatory subunit N8","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",139704,141787,"-",23883916,"-","CNAG_00047","XP_012046165.1",456,"pyruvate dehydrogenase kinase","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",142313,144363,"-",23883917,"-","CNAG_00048","XP_012046488.1",546,"sugar transporter","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",145392,146712,"+",23883918,"-","CNAG_00049","XP_012046489.1",325,"hypothetical protein CNAG_00049","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",146828,147999,"-",23883919,"-","CNAG_00050","XP_012046490.1",301,"hypothetical protein CNAG_00050","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",148617,153700,"-",23883920,"-","CNAG_00051","XP_012046491.1",1639,"hypothetical protein CNAG_00051","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",148617,153700,"-",23883920,"-","CNAG_00051","XP_012046492.1",1639,"hypothetical protein, variant","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",154389,154832,"+",23883921,"-","CNAG_00052","XP_012046493.1",94,"hypothetical protein CNAG_00052","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",155313,156087,"+",23883922,"-","CNAG_00053","XP_012046166.1",175,"hypothetical protein CNAG_00053","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",156291,157146,"-",23883923,"-","CNAG_00054","XP_012046494.1",235,"hypothetical protein CNAG_00054","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",157520,158796,"+",23883924,"-","CNAG_00055","XP_012046495.1",388,"hypothetical protein CNAG_00055","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",159196,161332,"+",23883925,"-","CNAG_00056","XP_012046496.1",674,"hypothetical protein CNAG_00056","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",161783,163128,"-",23883926,"-","CNAG_00057","XP_012046497.1",350,"fructose-1,6-bisphosphatase I","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",163462,166147,"-",23883927,"-","CNAG_00058","XP_012046498.1",548,"T-complex protein 1 subunit epsilon","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",166436,167376,"+",23883928,"-","CNAG_00059","XP_012046499.1",263,"hypothetical protein CNAG_00059","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",167479,168579,"-",23883929,"-","CNAG_00060","XP_012046500.1",322,"chaperone regulator, variant","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",167479,169005,"-",23883929,"-","CNAG_00060","XP_012046167.1",401,"chaperone regulator","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",169310,170984,"+",23883930,"-","CNAG_00061","XP_012046501.1",464,"citrate synthase, mitochondrial","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",172282,174201,"-",23883931,"-","CNAG_00062","XP_012046502.1",530,"26S proteasome regulatory subunit N3","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",174725,175649,"+",23883932,"-","CNAG_00063","XP_012046503.1",159,"histone H3","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",176043,177035,"-",23883933,"-","CNAG_00064","XP_012046168.1",198,"COPII-coated vesicle protein","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",177527,178845,"+",23883934,"-","CNAG_00065","XP_012046504.1",238,"ran-binding protein 1","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",179414,183359,"-",23883935,"-","CNAG_00066","XP_012046169.1",1284,"membrane protein","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",184125,184932,"+",23883936,"-","CNAG_00067","XP_012046505.1",70,"protein translocase SEC61 complex gamma subunit","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",189541,192076,"+",23883937,"-","CNAG_00068","XP_012046170.1",602,"specific RNA polymerase II transcription factor","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",192776,193729,"+",23883938,"-","CNAG_00069","XP_012046506.1",317,"hypothetical protein CNAG_00069","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",195355,197337,"+",23883939,"-","CNAG_00070","XP_012046171.1",620,"hypothetical protein CNAG_00070","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",199238,201107,"+",23883940,"-","CNAG_00072","XP_012046172.1",411,"protein disulfide-isomerase","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",201593,204477,"-",23883941,"-","CNAG_00073","XP_012046507.1",856,"nuclear mRNA splicing protein","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",205680,208220,"+",23883942,"-","CNAG_00074","XP_012046508.1",551,"protein PNS1","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",208635,209249,"-",23883943,"-","CNAG_00075","XP_012046509.1",157,"hypothetical protein CNAG_00075","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",209617,211921,"+",23883944,"-","CNAG_00076","XP_012046173.1",571,"A/G-specific adenine glycosylase","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",212669,213106,"-",23890752,"-","CNAG_07947","XP_012047074.1",99,"hypothetical protein CNAG_07947","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",213664,216292,"+",23883945,"-","CNAG_00077","XP_012046510.1",821,"solute carrier family 26 (sodium-independent sulfate anion transporter), member 11","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",217128,221286,"+",23883946,"-","CNAG_00078","XP_012046174.1",1177,"vacuolar protein","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",223667,224474,"+",23883947,"-","CNAG_00079","XP_012046511.1",252,"hypothetical protein CNAG_00079","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",225551,227173,"-",23883948,"-","CNAG_00080","XP_012046175.1",484,"hypothetical protein CNAG_00080","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",227666,230931,"-",23883949,"-","CNAG_00081","XP_012046512.1",942,"pre-mRNA-processing factor 6","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",231172,232271,"+",23883950,"-","CNAG_00082","XP_012046513.1",331,"cytosolic Fe-S cluster assembly factor CFD1","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",232495,235528,"-",23883951,"-","CNAG_00083","XP_012046514.1",976,"hypothetical protein CNAG_00083","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",236469,239638,"+",23883952,"-","CNAG_00084","XP_012046515.1",858,"glutamine-tRNA ligase","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
"NC_026745.1","1",239847,240801,"-",23883953,"-","CNAG_00085","XP_012046516.1",208,"histone chaperone ASF1","1","assembled-molecule","1","Chromosome","CP003820.1","=","Primary Assembly",2291499,"na","1","Supercontig_3.1"
